split,reference,comparison,paired_success_diff,ci95_success_diff,paired_memory_error_reduction,paired_mechanism_f1_diff,paired_damage_reduction,reference_better_seeds,seeds
combined_memory_stress,action_conditioned_memory,ensemble_uncertainty_planner,-0.01191,0.02334,-0.01711,0.05357,-0.02381,0,7
combined_memory_stress,action_conditioned_memory,graph_dynamics_baseline,-0.10714,0.11667,0.32176,0.12500,-0.25000,1,7
combined_memory_stress,action_conditioned_memory,history_rnn_estimator,-0.02381,0.03013,-0.01504,0.08929,-0.05952,0,7
combined_memory_stress,action_conditioned_memory,oracle_latent_state,-0.35714,0.08520,-0.21692,-0.46429,-0.45238,0,7
combined_memory_stress,action_conditioned_memory,particle_filter_memory,-0.02381,0.03012,-0.01504,0.01786,-0.03571,0,7
combined_memory_stress,action_conditioned_memory,visible_state_mpc,-0.16667,0.09430,0.36854,0.12500,-0.29762,0,7
hidden_strain_memory,action_conditioned_memory,ensemble_uncertainty_planner,0.00000,0.06173,-0.00536,0.01786,-0.04762,3,7
hidden_strain_memory,action_conditioned_memory,graph_dynamics_baseline,-0.01191,0.06600,0.19447,0.07143,-0.21428,1,7
hidden_strain_memory,action_conditioned_memory,history_rnn_estimator,0.01190,0.09037,-0.01189,0.01786,-0.04762,2,7
hidden_strain_memory,action_conditioned_memory,oracle_latent_state,-0.47619,0.08520,-0.19076,-0.37500,-0.42857,0,7
hidden_strain_memory,action_conditioned_memory,particle_filter_memory,0.03571,0.09991,-0.01189,0.01786,-0.05952,3,7
hidden_strain_memory,action_conditioned_memory,visible_state_mpc,-0.10714,0.04667,0.29214,0.05357,-0.22619,0,7
material_shift,action_conditioned_memory,ensemble_uncertainty_planner,-0.01190,0.05555,0.00199,0.07143,-0.08333,1,7
material_shift,action_conditioned_memory,graph_dynamics_baseline,-0.05952,0.08520,0.11632,0.00000,-0.28572,1,7
material_shift,action_conditioned_memory,history_rnn_estimator,-0.04762,0.06025,-0.00637,0.05357,-0.10714,1,7
material_shift,action_conditioned_memory,oracle_latent_state,-0.59524,0.04260,-0.17417,-0.42857,-0.53571,0,7
material_shift,action_conditioned_memory,particle_filter_memory,-0.01190,0.02333,-0.00637,0.03571,-0.05952,0,7
material_shift,action_conditioned_memory,visible_state_mpc,-0.14286,0.07739,0.11974,-0.05357,-0.32143,0,7
nominal_visible_state,action_conditioned_memory,ensemble_uncertainty_planner,-0.02381,0.05872,0.01820,-0.05357,-0.04762,2,7
nominal_visible_state,action_conditioned_memory,graph_dynamics_baseline,-0.01191,0.05554,0.02185,-0.03571,-0.02381,2,7
nominal_visible_state,action_conditioned_memory,history_rnn_estimator,-0.01191,0.05554,0.01335,-0.05357,-0.04762,2,7
nominal_visible_state,action_conditioned_memory,oracle_latent_state,-0.39286,0.04666,-0.11192,-0.44643,-0.30952,0,7
nominal_visible_state,action_conditioned_memory,particle_filter_memory,-0.00000,0.07128,0.01335,-0.05357,-0.04762,2,7
nominal_visible_state,action_conditioned_memory,visible_state_mpc,-0.05953,0.05872,0.01111,-0.07143,-0.05952,1,7
occluded_contact_memory,action_conditioned_memory,ensemble_uncertainty_planner,-0.01190,0.02333,-0.00719,0.05357,-0.05952,0,7
occluded_contact_memory,action_conditioned_memory,graph_dynamics_baseline,-0.02381,0.05872,0.14226,0.08929,-0.20238,2,7
occluded_contact_memory,action_conditioned_memory,history_rnn_estimator,-0.01190,0.04260,-0.00474,0.07143,-0.09524,1,7
occluded_contact_memory,action_conditioned_memory,oracle_latent_state,-0.51191,0.12049,-0.20872,-0.51786,-0.53571,0,7
occluded_contact_memory,action_conditioned_memory,particle_filter_memory,-0.03571,0.03300,-0.00474,0.05357,-0.07143,0,7
occluded_contact_memory,action_conditioned_memory,visible_state_mpc,-0.17857,0.05555,0.18228,0.03571,-0.29762,0,7
