variant,split,seed,episodes,success_rate,tail_risk,calibration_error
observed_only_behavior_clone,nominal,0,600,0.6183,0.3817,0.0373
observed_only_behavior_clone,nominal,1,600,0.6050,0.3950,0.0146
observed_only_behavior_clone,nominal,2,600,0.5867,0.4133,0.0109
observed_only_behavior_clone,nominal,3,600,0.5517,0.4483,0.0310
observed_only_behavior_clone,nominal,4,600,0.5633,0.4367,0.0350
observed_only_behavior_clone,nominal,5,600,0.5950,0.4050,0.0050
observed_only_behavior_clone,nominal,6,600,0.5683,0.4317,0.0308
observed_only_behavior_clone,hidden_mode_shift,0,600,0.4000,0.6000,0.0013
observed_only_behavior_clone,hidden_mode_shift,1,600,0.4150,0.5850,0.0043
observed_only_behavior_clone,hidden_mode_shift,2,600,0.3833,0.6167,0.0346
observed_only_behavior_clone,hidden_mode_shift,3,600,0.4133,0.5867,0.0104
observed_only_behavior_clone,hidden_mode_shift,4,600,0.3983,0.6017,0.0203
observed_only_behavior_clone,hidden_mode_shift,5,600,0.3817,0.6183,0.0286
observed_only_behavior_clone,hidden_mode_shift,6,600,0.4317,0.5683,0.0122
observed_only_behavior_clone,embodiment_shift,0,600,0.4567,0.5433,0.0228
observed_only_behavior_clone,embodiment_shift,1,600,0.4200,0.5800,0.0233
observed_only_behavior_clone,embodiment_shift,2,600,0.4417,0.5583,0.0088
observed_only_behavior_clone,embodiment_shift,3,600,0.4367,0.5633,0.0011
observed_only_behavior_clone,embodiment_shift,4,600,0.4500,0.5500,0.0012
observed_only_behavior_clone,embodiment_shift,5,600,0.4233,0.5767,0.0195
observed_only_behavior_clone,embodiment_shift,6,600,0.4317,0.5683,0.0204
observed_only_behavior_clone,combined_stress,0,600,0.3117,0.6883,0.0046
observed_only_behavior_clone,combined_stress,1,600,0.2767,0.7233,0.0490
observed_only_behavior_clone,combined_stress,2,600,0.3150,0.6850,0.0179
observed_only_behavior_clone,combined_stress,3,600,0.3133,0.6867,0.0046
observed_only_behavior_clone,combined_stress,4,600,0.3400,0.6600,0.0064
observed_only_behavior_clone,combined_stress,5,600,0.3450,0.6550,0.0197
observed_only_behavior_clone,combined_stress,6,600,0.3800,0.6200,0.0455
data_augmentation_wam,nominal,0,600,0.6433,0.3567,0.0040
data_augmentation_wam,nominal,1,600,0.6300,0.3700,0.0138
data_augmentation_wam,nominal,2,600,0.6417,0.3583,0.0086
data_augmentation_wam,nominal,3,600,0.6483,0.3517,0.0093
data_augmentation_wam,nominal,4,600,0.6717,0.3283,0.0325
data_augmentation_wam,nominal,5,600,0.6667,0.3333,0.0212
data_augmentation_wam,nominal,6,600,0.6500,0.3500,0.0046
data_augmentation_wam,hidden_mode_shift,0,600,0.4967,0.5033,0.0004
data_augmentation_wam,hidden_mode_shift,1,600,0.5083,0.4917,0.0149
data_augmentation_wam,hidden_mode_shift,2,600,0.4667,0.5333,0.0161
data_augmentation_wam,hidden_mode_shift,3,600,0.4617,0.5383,0.0271
data_augmentation_wam,hidden_mode_shift,4,600,0.5050,0.4950,0.0161
data_augmentation_wam,hidden_mode_shift,5,600,0.4917,0.5083,0.0035
data_augmentation_wam,hidden_mode_shift,6,600,0.4800,0.5200,0.0151
data_augmentation_wam,embodiment_shift,0,600,0.5000,0.5000,0.0245
data_augmentation_wam,embodiment_shift,1,600,0.5217,0.4783,0.0008
data_augmentation_wam,embodiment_shift,2,600,0.5217,0.4783,0.0115
data_augmentation_wam,embodiment_shift,3,600,0.4983,0.5017,0.0178
data_augmentation_wam,embodiment_shift,4,600,0.5133,0.4867,0.0030
data_augmentation_wam,embodiment_shift,5,600,0.4933,0.5067,0.0292
data_augmentation_wam,embodiment_shift,6,600,0.5133,0.4867,0.0091
data_augmentation_wam,combined_stress,0,600,0.4350,0.5650,0.0089
data_augmentation_wam,combined_stress,1,600,0.4083,0.5917,0.0141
data_augmentation_wam,combined_stress,2,600,0.4267,0.5733,0.0149
data_augmentation_wam,combined_stress,3,600,0.4250,0.5750,0.0072
data_augmentation_wam,combined_stress,4,600,0.4400,0.5600,0.0221
data_augmentation_wam,combined_stress,5,600,0.4133,0.5867,0.0108
data_augmentation_wam,combined_stress,6,600,0.4417,0.5583,0.0176
scalar_uncertainty_planner,nominal,0,600,0.6933,0.3067,0.0158
scalar_uncertainty_planner,nominal,1,600,0.6750,0.3250,0.0133
scalar_uncertainty_planner,nominal,2,600,0.6950,0.3050,0.0149
scalar_uncertainty_planner,nominal,3,600,0.7017,0.2983,0.0267
scalar_uncertainty_planner,nominal,4,600,0.6717,0.3283,0.0203
scalar_uncertainty_planner,nominal,5,600,0.6467,0.3533,0.0290
scalar_uncertainty_planner,nominal,6,600,0.6567,0.3433,0.0280
scalar_uncertainty_planner,hidden_mode_shift,0,600,0.5700,0.4300,0.0140
scalar_uncertainty_planner,hidden_mode_shift,1,600,0.5333,0.4667,0.0335
scalar_uncertainty_planner,hidden_mode_shift,2,600,0.5600,0.4400,0.0014
scalar_uncertainty_planner,hidden_mode_shift,3,600,0.5617,0.4383,0.0082
scalar_uncertainty_planner,hidden_mode_shift,4,600,0.5700,0.4300,0.0004
scalar_uncertainty_planner,hidden_mode_shift,5,600,0.5550,0.4450,0.0008
scalar_uncertainty_planner,hidden_mode_shift,6,600,0.5567,0.4433,0.0065
scalar_uncertainty_planner,embodiment_shift,0,600,0.6067,0.3933,0.0286
scalar_uncertainty_planner,embodiment_shift,1,600,0.5833,0.4167,0.0055
